battery_id,cycle,ambient_temp_c,capacity_ah,soh_pct,internal_resistance_ohm,rul_cycles
B0006,31,24.0,1.9577,96.19,0.3714,137
B0006,32,24.0,1.9625,96.42,0.3721,136
B0006,33,24.0,1.9549,96.05,0.3643,135
B0006,34,24.0,1.9597,96.28,0.3689,134
B0006,35,24.0,1.9562,96.12,0.3731,133
B0006,36,24.0,1.9521,95.91,0.3706,132
B0006,37,24.0,1.9553,96.07,0.3753,131
B0006,38,24.0,1.956,96.11,0.3684,130
B0006,39,24.0,1.9455,95.59,0.3818,129
B0006,40,24.0,1.9513,95.87,0.373,128
B0006,41,24.0,1.9546,96.04,0.3787,127
B0006,42,24.0,1.9516,95.89,0.3798,126
B0006,43,24.0,1.9535,95.98,0.3896,125
B0006,44,24.0,1.9427,95.45,0.3871,124
B0006,45,24.0,1.9448,95.55,0.3904,123
B0006,46,24.0,1.9368,95.16,0.3884,122
B0006,47,24.0,1.9433,95.48,0.3775,121
B0006,48,24.0,1.9328,94.96,0.3775,120
B0006,49,24.0,1.9349,95.07,0.3927,119
B0006,50,24.0,1.9405,95.34,0.3908,118
B0006,51,24.0,1.9395,95.29,0.385,117
B0006,52,24.0,1.9246,94.56,0.393,116
B0006,53,24.0,1.9314,94.9,0.3945,115
B0006,54,24.0,1.9201,94.34,0.3956,114
B0006,55,24.0,1.9217,94.42,0.4008,113
B0006,56,24.0,1.9269,94.67,0.3941,112
B0006,57,24.0,1.9218,94.43,0.3949,111
B0006,58,24.0,1.9221,94.44,0.4064,110
B0006,59,24.0,1.917,94.19,0.4055,109
B0006,60,24.0,1.9173,94.2,0.4004,108
B0006,61,24.0,1.9175,94.21,0.4006,107
B0006,62,24.0,1.9142,94.05,0.4012,106
B0006,63,24.0,1.9228,94.47,0.4088,105
B0006,64,24.0,1.9107,93.88,0.4111,104
B0006,65,24.0,1.9116,93.92,0.4103,103
B0006,66,24.0,1.913,93.99,0.4167,102
B0006,67,24.0,1.907,93.7,0.4114,101
B0006,68,24.0,1.9066,93.67,0.4042,100
B0006,69,24.0,1.9001,93.36,0.424,99
B0006,70,24.0,1.9113,93.91,0.4173,98
B0006,71,24.0,1.9056,93.63,0.4215,97
B0006,72,24.0,1.9142,94.05,0.427,96
B0006,73,24.0,1.8999,93.35,0.4181,95
B0006,74,24.0,1.8925,92.99,0.4253,94
B0006,75,24.0,1.8945,93.08,0.4186,93
B0006,76,24.0,1.8935,93.03,0.4218,92
B0006,77,24.0,1.9014,93.42,0.433,91
B0006,78,24.0,1.8932,93.02,0.4375,90
B0006,79,24.0,1.8921,92.96,0.4272,89
B0006,80,24.0,1.8965,93.18,0.4357,88
B0006,81,24.0,1.8848,92.61,0.4335,87
B0006,82,24.0,1.884,92.57,0.429,86
B0006,83,24.0,1.8898,92.85,0.4469,85
B0006,84,24.0,1.8791,92.32,0.4416,84
B0006,85,24.0,1.8807,92.4,0.4378,83
B0006,86,24.0,1.8795,92.34,0.4374,82
B0006,87,24.0,1.8806,92.4,0.439,81
B0006,88,24.0,1.8801,92.38,0.4444,80
B0006,89,24.0,1.8767,92.21,0.4416,79
B0006,90,24.0,1.8739,92.07,0.4514,78
B0006,91,24.0,1.8768,92.21,0.4442,77
B0006,92,24.0,1.8738,92.07,0.4543,76
B0006,93,24.0,1.8654,91.65,0.4548,75
B0006,94,24.0,1.868,91.78,0.4564,74
B0006,95,24.0,1.8662,91.69,0.446,73
B0006,96,24.0,1.8613,91.45,0.4568,72
B0006,97,24.0,1.8675,91.76,0.4535,71
B0006,98,24.0,1.8676,91.76,0.4512,70
B0006,99,24.0,1.8634,91.56,0.4549,69
B0006,100,24.0,1.8597,91.37,0.4627,68
B0006,101,24.0,1.8575,91.26,0.4621,67
B0006,102,24.0,1.8636,91.56,0.4626,66
B0006,103,24.0,1.8615,91.46,0.4614,65
B0006,104,24.0,1.8589,91.33,0.4757,64
B0006,105,24.0,1.8455,90.68,0.4661,63
B0006,106,24.0,1.8563,91.21,0.4706,62
B0006,107,24.0,1.8541,91.1,0.4701,61
B0006,108,24.0,1.8516,90.98,0.4738,60
B0006,109,24.0,1.8546,91.12,0.4774,59
B0006,110,24.0,1.8499,90.89,0.4756,58
B0006,111,24.0,1.8452,90.66,0.477,57
B0006,112,24.0,1.8474,90.77,0.4786,56
B0006,113,24.0,1.8456,90.68,0.4926,55
B0006,114,24.0,1.8466,90.73,0.4822,54
B0006,115,24.0,1.8465,90.72,0.4833,53
B0006,116,24.0,1.8322,90.02,0.4818,52
B0006,117,24.0,1.8315,89.99,0.4867,51
B0006,118,24.0,1.8377,90.29,0.4984,50
B0006,119,24.0,1.8376,90.29,0.4904,49
B0006,120,24.0,1.8383,90.32,0.482,48
B0006,121,24.0,1.8345,90.14,0.4985,47
B0006,122,24.0,1.8263,89.73,0.5019,46
B0006,123,24.0,1.8322,90.02,0.4957,45
B0006,124,24.0,1.8321,90.01,0.5107,44
B0006,125,24.0,1.8289,89.86,0.5022,43
B0006,126,24.0,1.825,89.67,0.4982,42
B0006,127,24.0,1.8288,89.85,0.4998,41
B0006,128,24.0,1.8244,89.64,0.5033,40
B0006,129,24.0,1.8247,89.65,0.5089,39
B0006,130,24.0,1.8256,89.7,0.5063,38
B0006,131,24.0,1.819,89.37,0.5055,37
B0006,132,24.0,1.817,89.27,0.5139,36
B0006,133,24.0,1.8205,89.44,0.509,35
B0006,134,24.0,1.8196,89.4,0.522,34
B0006,135,24.0,1.8164,89.25,0.5262,33
B0006,136,24.0,1.8103,88.95,0.5122,32
B0006,137,24.0,1.805,88.68,0.5275,31
B0006,138,24.0,1.8134,89.1,0.5213,30
B0006,139,24.0,1.8106,88.96,0.5176,29
B0006,140,24.0,1.8179,89.32,0.5255,28
B0006,141,24.0,1.8072,88.79,0.5301,27
B0006,142,24.0,1.8074,88.8,0.5292,26
B0006,143,24.0,1.801,88.49,0.532,25
B0006,144,24.0,1.8103,88.95,0.538,24
B0006,145,24.0,1.8078,88.82,0.5304,23
B0006,146,24.0,1.7962,88.25,0.5339,22
B0006,147,24.0,1.799,88.39,0.5417,21
B0006,148,24.0,1.7907,87.98,0.5455,20
B0006,149,24.0,1.7955,88.22,0.5373,19
B0006,150,24.0,1.7908,87.99,0.5329,18
B0006,151,24.0,1.7968,88.28,0.5431,17
B0006,152,24.0,1.787,87.8,0.538,16
B0006,153,24.0,1.7895,87.93,0.5544,15
B0006,154,24.0,1.7885,87.88,0.5402,14
B0006,155,24.0,1.7873,87.81,0.548,13
B0006,156,24.0,1.7762,87.27,0.5508,12
B0006,157,24.0,1.7847,87.69,0.5562,11
B0006,158,24.0,1.7917,88.03,0.56,10
B0006,159,24.0,1.7819,87.55,0.5505,9
B0006,160,24.0,1.792,88.05,0.558,8
B0006,161,24.0,1.7804,87.48,0.5593,7
B0006,162,24.0,1.7799,87.45,0.5604,6
B0006,163,24.0,1.7755,87.23,0.5601,5
B0006,164,24.0,1.7763,87.28,0.5618,4
B0006,165,24.0,1.7723,87.08,0.5667,3
B0006,166,24.0,1.7728,87.1,0.5754,2
B0006,167,24.0,1.7619,86.57,0.575,1
B0006,168,24.0,1.7762,87.27,0.5609,0
B0007,1,24.0,1.8853,99.7,0.2991,167
B0007,2,24.0,1.8789,99.36,0.2981,166
B0007,3,24.0,1.8783,99.33,0.3117,165
B0007,4,24.0,1.8849,99.68,0.3103,164
B0007,5,24.0,1.8826,99.56,0.2992,163
B0007,6,24.0,1.8762,99.22,0.3083,162
B0007,7,24.0,1.8721,99.0,0.3104,161
B0007,8,24.0,1.8748,99.14,0.3059,160
B0007,9,24.0,1.8774,99.28,0.311,159
B0007,10,24.0,1.8719,98.99,0.3156,158
B0007,11,24.0,1.8679,98.78,0.3138,157
B0007,12,24.0,1.8735,99.07,0.3102,156
B0007,13,24.0,1.8713,98.96,0.3065,155
B0007,14,24.0,1.8726,99.03,0.3128,154
B0007,15,24.0,1.8658,98.66,0.3199,153
B0007,16,24.0,1.864,98.57,0.3086,152
B0007,17,24.0,1.8595,98.34,0.3197,151
B0007,18,24.0,1.8596,98.34,0.3264,150
B0007,19,24.0,1.8554,98.12,0.3271,149
B0007,20,24.0,1.8636,98.55,0.3191,148
B0007,21,24.0,1.8596,98.34,0.3226,147
B0007,22,24.0,1.8606,98.39,0.3271,146
B0007,23,24.0,1.8603,98.37,0.3233,145
B0007,24,24.0,1.8574,98.22,0.3233,144
B0007,25,24.0,1.8591,98.32,0.316,143
B0007,26,24.0,1.8516,97.92,0.3293,142
B0007,27,24.0,1.8567,98.19,0.3256,141
B0007,28,24.0,1.8552,98.11,0.3293,140
B0007,29,24.0,1.852,97.94,0.3246,139
B0007,30,24.0,1.854,98.05,0.3246,138
B0007,31,24.0,1.854,98.04,0.322,137
B0007,32,24.0,1.8556,98.13,0.3339,136
B0007,33,24.0,1.8516,97.92,0.3374,135
B0007,34,24.0,1.8563,98.17,0.3386,134
B0007,35,24.0,1.8414,97.38,0.3281,133
B0007,36,24.0,1.8454,97.59,0.3356,132
B0007,37,24.0,1.8491,97.78,0.3329,131
B0007,38,24.0,1.8469,97.67,0.3337,130
B0007,39,24.0,1.8428,97.45,0.3315,129
B0007,40,24.0,1.8407,97.34,0.3327,128
B0007,41,24.0,1.8396,97.28,0.3458,127
B0007,42,24.0,1.8389,97.24,0.3547,126
B0007,43,24.0,1.8438,97.5,0.3434,125
B0007,44,24.0,1.8375,97.17,0.347,124
B0007,45,24.0,1.8378,97.19,0.3451,123
B0007,46,24.0,1.8495,97.81,0.345,122
B0007,47,24.0,1.843,97.46,0.343,121
B0007,48,24.0,1.8374,97.17,0.3564,120
B0007,49,24.0,1.8342,97.0,0.3576,119
B0007,50,24.0,1.8387,97.24,0.3467,118
B0007,51,24.0,1.8376,97.18,0.3554,117
B0007,52,24.0,1.8367,97.13,0.3437,116
B0007,53,24.0,1.8305,96.8,0.3513,115
B0007,54,24.0,1.8323,96.89,0.3567,114
B0007,55,24.0,1.8325,96.9,0.3479,113
B0007,56,24.0,1.8325,96.9,0.3586,112
B0007,57,24.0,1.8323,96.9,0.362,111
B0007,58,24.0,1.8326,96.91,0.3599,110
B0007,59,24.0,1.8282,96.68,0.3503,109
B0007,60,24.0,1.8294,96.74,0.3607,108
B0007,61,24.0,1.8279,96.67,0.3543,107
B0007,62,24.0,1.8217,96.34,0.3669,106
B0007,63,24.0,1.8251,96.51,0.3661,105
B0007,64,24.0,1.8246,96.49,0.3638,104
B0007,65,24.0,1.8274,96.64,0.3621,103
B0007,66,24.0,1.8232,96.42,0.3634,102
B0007,67,24.0,1.8203,96.26,0.3652,101
B0007,68,24.0,1.8221,96.36,0.3654,100
B0007,69,24.0,1.8255,96.53,0.3643,99
B0007,70,24.0,1.8189,96.19,0.3676,98
B0007,71,24.0,1.8246,96.49,0.3718,97
B0007,72,24.0,1.8222,96.36,0.3644,96
B0007,73,24.0,1.8183,96.16,0.3773,95
B0007,74,24.0,1.8168,96.08,0.3792,94
B0007,75,24.0,1.8136,95.91,0.3819,93
B0007,76,24.0,1.8241,96.46,0.3741,92
B0007,77,24.0,1.8123,95.84,0.3842,91
B0007,78,24.0,1.8197,96.23,0.3754,90
B0007,79,24.0,1.8109,95.76,0.3776,89
B0007,80,24.0,1.8064,95.53,0.3754,88
B0007,81,24.0,1.807,95.56,0.3772,87
B0007,82,24.0,1.8101,95.72,0.3833,86
B0007,83,24.0,1.8157,96.02,0.3781,85
B0007,84,24.0,1.8126,95.86,0.3831,84
B0007,85,24.0,1.8077,95.6,0.3885,83
B0007,86,24.0,1.8026,95.33,0.3881,82
B0007,87,24.0,1.807,95.56,0.3897,81
B0007,88,24.0,1.8068,95.55,0.4005,80
B0007,89,24.0,1.8023,95.31,0.3866,79
B0007,90,24.0,1.8016,95.27,0.3876,78
B0007,91,24.0,1.8007,95.23,0.3973,77
B0007,92,24.0,1.8082,95.62,0.3895,76
B0007,93,24.0,1.7984,95.11,0.3958,75
B0007,94,24.0,1.7988,95.12,0.3976,74
B0007,95,24.0,1.8011,95.24,0.3879,73
B0007,96,24.0,1.8057,95.49,0.4055,72
B0007,97,24.0,1.7963,94.99,0.3957,71
B0007,98,24.0,1.7991,95.14,0.4003,70
B0007,99,24.0,1.7998,95.18,0.4097,69
B0007,100,24.0,1.7957,94.96,0.3967,68
B0007,101,24.0,1.7902,94.67,0.3981,67
B0007,102,24.0,1.7948,94.91,0.4118,66
B0007,103,24.0,1.7921,94.77,0.405,65
B0007,104,24.0,1.7934,94.84,0.4108,64
B0007,105,24.0,1.8028,95.34,0.4033,63
B0007,106,24.0,1.79,94.66,0.4122,62
B0007,107,24.0,1.7939,94.87,0.4173,61
B0007,108,24.0,1.7928,94.81,0.4073,60
B0007,109,24.0,1.792,94.77,0.4157,59
B0007,110,24.0,1.7922,94.78,0.4137,58
B0007,111,24.0,1.7925,94.79,0.4181,57
B0007,112,24.0,1.793,94.82,0.4165,56
B0007,113,24.0,1.786,94.45,0.415,55
B0007,114,24.0,1.7908,94.7,0.4113,54
B0007,115,24.0,1.7867,94.48,0.4144,53
B0007,116,24.0,1.7846,94.37,0.4239,52
B0007,117,24.0,1.7845,94.37,0.4188,51
B0007,118,24.0,1.7775,94.0,0.4233,50
B0007,119,24.0,1.7848,94.38,0.4314,49
B0007,120,24.0,1.7803,94.14,0.4228,48
B0007,121,24.0,1.7818,94.22,0.4306,47
B0007,122,24.0,1.7796,94.11,0.4252,46
B0007,123,24.0,1.7817,94.22,0.4258,45
B0007,124,24.0,1.7768,93.96,0.4269,44
B0007,125,24.0,1.7821,94.24,0.4218,43
B0007,126,24.0,1.7776,94.0,0.4245,42
B0007,127,24.0,1.7811,94.19,0.4215,41
B0007,128,24.0,1.7734,93.78,0.432,40
B0007,129,24.0,1.7811,94.19,0.4309,39
B0007,130,24.0,1.7719,93.7,0.4417,38
B0007,131,24.0,1.7676,93.47,0.4224,37
B0007,132,24.0,1.7744,93.84,0.4319,36
B0007,133,24.0,1.7678,93.49,0.439,35
B0007,134,24.0,1.7722,93.72,0.4337,34
B0007,135,24.0,1.7654,93.36,0.442,33
B0007,136,24.0,1.7723,93.73,0.4382,32
B0007,137,24.0,1.7764,93.94,0.4344,31
B0007,138,24.0,1.7622,93.19,0.4374,30
B0007,139,24.0,1.7674,93.46,0.4431,29
B0007,140,24.0,1.7659,93.38,0.4447,28
B0007,141,24.0,1.7611,93.13,0.4513,27
B0007,142,24.0,1.765,93.34,0.4507,26
B0007,143,24.0,1.766,93.39,0.4485,25
B0007,144,24.0,1.7662,93.4,0.4495,24
B0007,145,24.0,1.7658,93.38,0.455,23
B0007,146,24.0,1.7633,93.24,0.453,22
B0007,147,24.0,1.7614,93.15,0.4577,21
B0007,148,24.0,1.7583,92.98,0.4606,20
B0007,149,24.0,1.7601,93.08,0.4455,19
B0007,150,24.0,1.7601,93.08,0.4503,18
B0007,151,24.0,1.7622,93.19,0.4515,17
B0007,152,24.0,1.7564,92.88,0.4464,16
B0007,153,24.0,1.7556,92.84,0.4449,15
B0007,154,24.0,1.7504,92.56,0.4619,14
B0007,155,24.0,1.7591,93.03,0.4613,13
B0007,156,24.0,1.7514,92.62,0.46,12
B0007,157,24.0,1.7545,92.78,0.4555,11
B0007,158,24.0,1.7598,93.06,0.4668,10
B0007,159,24.0,1.7522,92.66,0.4636,9
B0007,160,24.0,1.7532,92.71,0.4544,8
B0007,161,24.0,1.7507,92.58,0.4622,7
B0007,162,24.0,1.747,92.38,0.4653,6
B0007,163,24.0,1.7574,92.94,0.471,5
B0007,164,24.0,1.7472,92.4,0.4718,4
B0007,165,24.0,1.7544,92.78,0.4746,3
B0007,166,24.0,1.7483,92.46,0.4679,2
B0007,167,24.0,1.7502,92.55,0.4742,1
B0007,168,24.0,1.7503,92.56,0.4765,0
B0018,1,4.0,1.8505,99.75,0.5698,131
B0018,2,4.0,1.8472,99.58,0.5759,130
B0018,3,4.0,1.8467,99.55,0.5739,129
B0018,4,4.0,1.8422,99.31,0.5808,128
B0018,5,4.0,1.8297,98.64,0.5799,127
B0018,6,4.0,1.8282,98.56,0.5869,126
B0018,7,4.0,1.829,98.6,0.5844,125
B0018,8,4.0,1.8243,98.34,0.6005,124
B0018,9,4.0,1.8288,98.59,0.5944,123
B0018,10,4.0,1.8197,98.1,0.5954,122
B0018,11,4.0,1.8197,98.1,0.5921,121
B0018,12,4.0,1.8139,97.79,0.5914,120
B0018,13,4.0,1.8143,97.81,0.6055,119
B0018,14,4.0,1.8086,97.5,0.6127,118
B0018,15,4.0,1.8035,97.23,0.6,117
B0018,16,4.0,1.8072,97.42,0.6151,116
B0018,17,4.0,1.811,97.63,0.6101,115
B0018,18,4.0,1.8065,97.39,0.6147,114
B0018,19,4.0,1.7995,97.01,0.6219,113
B0018,20,4.0,1.8008,97.08,0.6121,112
B0018,21,4.0,1.8021,97.15,0.6295,111
B0018,22,4.0,1.7917,96.59,0.6271,110
B0018,23,4.0,1.7943,96.73,0.629,109
B0018,24,4.0,1.7882,96.4,0.6269,108
B0018,25,4.0,1.7883,96.41,0.6387,107
B0018,26,4.0,1.7887,96.43,0.6336,106
B0018,27,4.0,1.7878,96.38,0.6237,105
B0018,28,4.0,1.7874,96.36,0.6319,104
B0018,29,4.0,1.7795,95.93,0.6376,103
B0018,30,4.0,1.7739,95.63,0.6516,102
B0018,31,4.0,1.7754,95.71,0.6501,101
B0018,32,4.0,1.7753,95.7,0.6534,100
B0018,33,4.0,1.774,95.63,0.6472,99
B0018,34,4.0,1.7758,95.73,0.6538,98
