altitude_m,pressure_kpa,ambient_temp_c,air_density_kg_m3,density_ratio,cooling_mode,is_forced,theta_base,load_power_w,electrode_gap_mm,delta_t_diurnal,paschen_v_bd,t_baseline_c,t_reference_c,thermal_residual_c
1090.9,88.89,10.88,1.0902,0.89,forced,1.0,4.122,72.91,2.74,42.8,2856.5,340.8,370.13,29.324
1100.4,88.78,12.86,1.0814,0.8828,forced,1.0,3.432,58.33,7.32,42.0,6910.8,234.05,252.94,18.886
1825.5,81.23,6.49,1.012,0.8261,natural,0.0,5.316,37.35,6.85,17.0,6002.7,224.93,245.23,20.3
3148.5,68.79,-3.21,0.8878,0.7247,forced,1.0,1.717,38.94,2.18,15.0,1850.9,83.32,99.24,15.922
2591.7,73.83,-0.98,0.9449,0.7714,forced,1.0,2.974,20.78,4.03,58.9,3410.5,75.06,84.09,9.033
1747.4,82.02,11.45,1.004,0.8196,natural,0.0,3.458,33.59,9.18,61.3,7893.2,139.74,151.4,11.66
3671.1,64.33,4.0,0.8086,0.6601,forced,1.0,2.501,33.49,7.52,59.7,5287.7,120.79,147.57,26.785
837.0,91.67,21.59,1.0835,0.8845,forced,1.0,2.916,4.63,7.72,31.8,7464.4,36.5,36.62,0.127
1752.9,81.96,1.07,1.0413,0.85,natural,0.0,1.245,35.08,5.86,25.8,5252.7,48.45,51.97,3.525
2198.2,77.56,13.45,0.9427,0.7696,forced,1.0,1.929,37.02,6.82,61.8,5735.5,101.49,114.6,13.102
2736.4,72.49,0.3,0.9235,0.7539,forced,1.0,2.712,50.6,5.33,58.6,4321.0,172.36,204.08,31.715
4711.1,56.14,-7.02,0.7348,0.5999,forced,1.0,5.337,39.7,7.54,55.1,4688.0,311.86,405.61,93.751
1198.0,87.74,6.78,1.0919,0.8913,forced,1.0,1.84,64.9,7.46,28.4,6952.7,137.73,148.63,10.9
3085.4,69.35,0.8,0.8819,0.7199,natural,0.0,2.776,28.83,0.8,45.1,764.3,95.12,108.5,13.375
3554.5,65.3,-1.22,0.8366,0.6829,forced,1.0,1.17,31.91,6.5,51.3,4701.9,49.43,60.06,10.631
278.7,98.02,9.28,1.2091,0.987,forced,1.0,3.975,43.72,6.48,41.7,6768.8,184.91,186.0,1.082
3645.3,64.54,-0.04,0.8233,0.6721,forced,1.0,4.284,16.8,1.14,43.1,984.4,98.86,115.31,16.448
1023.1,89.62,21.43,1.0599,0.8652,forced,1.0,5.733,30.73,4.4,51.6,4397.7,219.22,234.54,15.317
390.3,96.72,16.42,1.1637,0.9499,forced,1.0,5.469,52.09,9.04,52.2,9038.7,313.25,322.71,9.465
5693.3,49.2,-8.85,0.6485,0.5293,forced,1.0,2.427,32.06,9.56,23.2,5155.4,120.58,163.84,43.266
5793.8,48.53,-18.8,0.6647,0.5426,forced,1.0,1.581,68.18,7.93,31.5,4303.8,156.97,232.55,75.582
4850.4,55.11,-6.43,0.7198,0.5876,forced,1.0,1.69,46.92,1.94,53.0,1369.2,114.88,154.66,39.786
1827.7,81.21,-5.19,1.0558,0.8619,forced,1.0,6.323,13.23,4.06,24.4,3744.3,88.99,94.01,5.02
586.0,94.48,30.7,1.0832,0.8843,natural,0.0,4.637,37.58,2.23,60.4,2510.3,216.05,227.09,11.043
4105.4,60.8,2.29,0.769,0.6277,forced,1.0,1.043,57.83,6.7,56.1,4526.5,89.8,117.19,27.392
2640.9,73.37,1.13,0.9319,0.7607,forced,1.0,1.58,48.96,7.84,59.3,6188.5,97.39,114.05,16.662
732.2,92.83,3.41,1.1694,0.9546,forced,1.0,3.569,66.62,8.9,26.4,8583.0,250.2,258.35,8.149
2971.1,70.37,2.42,0.8896,0.7262,forced,1.0,1.985,56.75,8.68,15.8,6527.4,147.9,179.66,31.768
206.3,98.87,10.0,1.2165,0.993,forced,1.0,5.381,6.5,1.44,15.5,1769.4,45.16,45.09,-0.07
5455.9,50.81,-12.79,0.6798,0.555,natural,0.0,4.067,10.21,1.69,40.6,1130.7,42.97,51.39,8.417
1552.7,84.01,12.38,1.025,0.8367,forced,1.0,4.292,49.43,9.14,26.8,8036.2,257.06,285.41,28.355
3975.1,61.84,-11.49,0.8233,0.6721,natural,0.0,3.438,19.4,8.52,24.5,5710.7,69.89,81.29,11.401
1870.3,80.78,14.57,0.9781,0.7985,forced,1.0,2.26,44.91,4.87,22.2,4392.6,136.07,153.37,17.302
3120.4,69.04,4.55,0.8661,0.707,forced,1.0,4.16,59.83,4.59,40.9,3610.2,332.98,411.11,78.127
3280.3,67.64,4.53,0.8486,0.6928,natural,0.0,4.887,44.12,5.75,40.1,4345.9,263.55,314.17,50.624
1109.1,88.69,12.84,1.0803,0.8819,forced,1.0,2.914,32.33,6.17,33.2,5910.6,117.03,124.31,7.281
5817.5,48.37,-26.31,0.6827,0.5573,forced,1.0,3.678,49.18,2.92,17.6,1751.6,262.46,367.2,104.743
4650.8,56.59,-4.36,0.7334,0.5987,forced,1.0,5.586,12.48,4.34,61.1,2871.9,100.76,121.51,20.744
5637.0,49.58,-18.26,0.6776,0.5531,forced,1.0,1.647,54.79,6.39,33.5,3610.8,126.71,182.63,55.917
5369.0,51.41,-23.24,0.7166,0.585,forced,1.0,3.908,52.88,2.46,16.8,1589.8,294.11,403.29,109.181
3587.4,65.03,4.79,0.815,0.6653,forced,1.0,2.786,39.55,9.99,12.0,6904.1,157.45,193.81,36.366
5531.2,50.29,-3.36,0.6494,0.5301,forced,1.0,4.806,22.35,3.19,18.4,1963.7,175.14,227.92,52.781
531.0,95.11,16.3,1.1447,0.9344,forced,1.0,0.907,60.22,5.75,26.3,5906.9,73.98,76.73,2.743
1175.9,87.97,25.31,1.0268,0.8382,forced,1.0,4.622,39.27,5.76,44.7,5519.4,234.32,255.99,21.664
271.4,98.11,18.78,1.1707,0.9557,natural,0.0,1.387,6.32,4.79,63.4,5151.7,27.75,27.57,-0.176
1952.0,79.97,5.03,1.0015,0.8175,natural,0.0,1.169,69.06,2.79,25.0,2641.8,94.33,106.47,12.144
2332.1,76.27,1.06,0.969,0.791,forced,1.0,4.93,58.04,5.87,53.4,4932.9,346.27,401.61,55.335
1628.1,83.23,19.24,0.9917,0.8096,natural,0.0,4.45,44.69,1.36,60.1,1445.5,240.27,265.3,25.029
4972.4,54.22,-17.0,0.7374,0.6019,natural,0.0,5.901,33.89,4.18,31.5,2672.6,240.75,302.12,61.363
2140.5,78.12,10.5,0.9594,0.7832,forced,1.0,3.762,72.07,2.63,23.9,2450.6,340.18,400.68,60.494
1685.6,82.65,5.69,1.0326,0.8429,natural,0.0,3.821,58.58,1.68,37.0,1727.4,249.49,274.88,25.393
3256.2,67.85,-3.93,0.878,0.7167,forced,1.0,4.83,41.05,9.29,59.3,6720.6,254.91,306.28,51.375
845.5,91.57,20.69,1.0857,0.8862,forced,1.0,2.643,49.68,7.15,10.6,6953.6,165.33,176.99,11.666
4813.2,55.38,-13.57,0.7432,0.6067,forced,1.0,1.01,22.49,2.1,36.8,1478.5,20.33,28.33,7.993
447.3,96.07,14.66,1.1628,0.9492,forced,1.0,2.111,16.29,9.52,51.7,9415.8,50.51,51.08,0.567
5921.3,47.69,-11.69,0.6354,0.5187,forced,1.0,2.157,21.95,2.55,43.1,1536.8,68.35,92.2,23.85
4633.5,56.72,-0.53,0.7248,0.5917,forced,1.0,2.713,23.4,2.74,37.4,1908.9,96.08,120.49,24.415
1192.3,87.8,16.12,1.0574,0.8631,forced,1.0,6.178,56.0,1.77,40.4,1906.1,405.3,444.15,38.844
33.1,100.93,15.86,1.2166,0.9931,forced,1.0,5.388,12.22,7.41,44.1,7849.3,82.08,82.16,0.079
4892.8,54.8,-14.87,0.7391,0.6033,natural,0.0,6.135,58.76,5.92,47.5,3692.0,449.26,594.28,145.02
4241.1,59.73,-7.09,0.782,0.6384,forced,1.0,6.492,40.21,1.05,29.6,858.0,366.7,464.77,98.068
4374.0,58.69,-6.51,0.7668,0.626,forced,1.0,3.273,30.07,0.74,38.5,620.4,136.66,171.62,34.967
4627.6,56.76,-16.01,0.769,0.6277,forced,1.0,2.094,23.93,5.56,25.0,3600.2,56.73,72.87,16.145
444.3,96.1,21.45,1.1364,0.9277,forced,1.0,3.992,39.46,6.69,64.1,6839.9,188.74,195.7,6.957
2150.8,78.02,6.53,0.9718,0.7933,forced,1.0,5.822,25.18,8.32,20.3,6897.9,182.97,202.9,19.923
695.2,93.25,5.19,1.1671,0.9527,forced,1.0,3.455,33.35,5.04,18.3,5156.2,124.95,127.96,3.011
5178.6,52.74,-19.23,0.7236,0.5907,forced,1.0,3.681,55.95,6.93,24.8,4106.6,294.55,403.5,108.948
3739.8,63.76,-7.33,0.8356,0.6821,forced,1.0,1.566,47.7,7.47,60.6,5215.1,94.13,118.39,24.266
1985.4,79.64,6.66,0.9915,0.8094,forced,1.0,3.197,56.6,6.32,46.2,5485.1,220.94,251.92,30.972
381.4,96.83,28.86,1.1169,0.9118,forced,1.0,3.006,54.05,3.85,35.1,4177.9,203.78,214.82,11.043
1865.9,80.83,9.3,0.9969,0.8138,natural,0.0,2.805,61.5,1.75,60.9,1759.1,200.5,225.29,24.79
1951.1,79.98,2.27,1.0116,0.8258,forced,1.0,5.858,16.72,6.65,59.5,5763.3,116.44,126.19,9.747
4377.6,58.67,-7.13,0.7683,0.6271,natural,0.0,1.138,74.64,7.8,32.1,5031.8,100.13,135.03,34.9
3825.3,63.05,-6.98,0.8253,0.6737,forced,1.0,6.341,36.73,2.3,41.0,1798.3,312.5,383.95,71.446
5323.3,51.73,-12.65,0.6917,0.5647,forced,1.0,0.847,54.43,5.2,59.8,3119.4,60.17,87.04,26.864
2833.3,71.61,5.07,0.8966,0.7319,forced,1.0,6.19,51.48,4.27,27.6,3501.9,414.05,497.59,83.534
717.6,93.0,22.59,1.0955,0.8942,forced,1.0,3.924,43.33,2.45,32.4,2691.9,208.51,221.46,12.947
4279.5,59.43,-7.96,0.7807,0.6373,forced,1.0,4.804,74.69,2.83,53.6,2049.5,506.58,678.9,172.317
4564.7,57.24,0.16,0.7295,0.5955,forced,1.0,1.867,17.86,2.76,48.4,1936.7,50.64,62.52,11.877
3367.7,66.89,3.56,0.8421,0.6875,forced,1.0,4.529,32.79,4.48,12.7,3436.3,203.96,244.92,40.957
4625.8,56.78,-14.31,0.7641,0.6238,forced,1.0,5.827,11.32,4.21,16.5,2805.3,81.95,98.99,17.041
2962.8,70.44,14.0,0.8546,0.6976,forced,1.0,1.595,15.27,5.76,56.5,4516.6,46.5,51.47,4.968
3136.4,68.9,1.58,0.8737,0.7132,forced,1.0,1.524,54.05,1.39,11.6,1239.2,109.54,133.51,23.967
2565.2,74.07,-1.68,0.9506,0.776,natural,0.0,2.533,2.35,6.02,60.6,4915.7,5.08,5.34,0.259
152.5,99.51,28.93,1.1476,0.9368,forced,1.0,1.722,66.96,0.71,24.9,947.2,150.4,156.09,5.694
647.3,93.79,28.26,1.084,0.8849,forced,1.0,1.431,48.22,2.95,42.9,3193.9,104.34,110.19,5.848
188.6,99.08,18.58,1.1832,0.9659,forced,1.0,4.666,34.19,5.27,41.1,5667.3,182.6,185.86,3.264
3818.5,63.11,-7.84,0.8287,0.6765,natural,0.0,2.019,26.19,7.03,31.8,4889.5,56.44,66.71,10.274
1886.1,80.62,6.71,1.0036,0.8193,natural,0.0,4.602,11.22,7.83,11.7,6725.9,63.74,66.81,3.065
3051.4,69.65,4.45,0.8741,0.7135,natural,0.0,5.713,69.27,0.84,20.6,803.1,472.98,578.49,105.504
5445.4,50.88,-7.73,0.6678,0.5451,forced,1.0,4.517,54.0,5.61,43.8,3287.5,388.54,543.17,154.628
1495.8,84.6,13.7,1.0274,0.8387,forced,1.0,1.48,26.56,3.87,34.6,3718.4,58.95,63.28,4.326
2462.3,75.04,4.61,0.9411,0.7683,forced,1.0,4.069,7.18,7.1,32.8,5772.1,40.68,43.74,3.061
4533.3,57.47,-0.48,0.7343,0.5994,forced,1.0,3.044,25.77,3.2,15.4,2216.9,117.67,147.37,29.703
1372.8,85.88,9.2,1.0597,0.865,natural,0.0,2.757,15.48,7.57,29.1,6906.1,55.09,57.65,2.563
461.9,95.9,23.18,1.1274,0.9203,forced,1.0,2.616,59.4,6.22,39.0,6392.8,189.22,198.13,8.907
1738.5,82.11,6.97,1.0212,0.8336,forced,1.0,6.098,54.53,8.0,14.3,6976.2,391.61,438.78,47.169
967.3,90.23,16.3,1.086,0.8865,forced,1.0,5.032,38.37,9.85,13.7,9176.6,228.9,243.69,14.789
5578.2,49.97,-16.94,0.6795,0.5547,natural,0.0,1.563,66.67,9.13,37.0,5017.8,122.96,177.72,54.752
4848.7,55.12,-11.85,0.7349,0.5999,forced,1.0,3.513,15.19,6.14,40.9,3831.3,68.46,85.35,16.883
3800.4,63.26,-6.97,0.8279,0.6758,forced,1.0,2.614,34.99,8.99,24.2,6122.2,118.17,145.8,27.625
5228.8,52.39,-5.92,0.6829,0.5575,forced,1.0,6.374,53.88,1.95,27.9,1318.4,542.14,748.08,205.938
4822.0,55.32,-15.74,0.7486,0.6111,forced,1.0,6.375,6.95,0.91,53.8,704.7,49.95,60.06,10.111
1119.4,88.58,8.28,1.0965,0.8951,forced,1.0,2.621,29.21,5.56,57.8,5379.7,91.94,96.38,4.44
5355.4,51.5,-2.08,0.6619,0.5403,forced,1.0,2.807,43.73,9.76,27.9,5473.7,198.79,271.97,73.184
3236.1,68.03,4.83,0.8525,0.6959,forced,1.0,4.217,28.78,7.24,29.6,5377.4,167.0,197.61,30.613
4844.6,55.15,-25.8,0.7767,0.6341,natural,0.0,3.532,37.05,3.4,55.7,2257.5,138.56,175.63,37.071
5376.5,51.35,-18.34,0.7021,0.5731,natural,0.0,2.015,46.39,6.85,63.6,3970.9,105.12,142.86,37.736
1908.0,80.41,-3.27,1.0379,0.8473,forced,1.0,4.564,28.89,0.88,27.6,950.5,147.3,159.71,12.416
660.3,93.64,10.0,1.1521,0.9405,natural,0.0,2.705,9.74,4.97,53.4,5108.4,37.16,37.68,0.519
1367.6,85.94,-7.72,1.1279,0.9207,forced,1.0,4.526,12.18,2.75,36.4,2780.9,51.17,52.96,1.788
2562.6,74.1,2.52,0.9364,0.7644,natural,0.0,2.987,40.47,0.97,24.5,962.3,140.79,159.76,18.965
4908.1,54.69,-18.75,0.7489,0.6113,natural,0.0,4.791,14.76,2.87,47.5,1929.3,71.67,85.19,13.522
5164.4,52.84,-13.21,0.7082,0.5781,forced,1.0,4.606,66.96,7.36,35.4,4346.2,464.94,649.66,184.722
41.7,100.82,9.98,1.2406,1.0127,forced,1.0,3.7,62.9,5.74,24.7,6215.7,240.37,240.07,-0.296
3064.5,69.53,0.58,0.885,0.7224,forced,1.0,4.817,27.48,0.72,15.9,704.4,172.27,200.84,28.565
2504.5,74.64,1.23,0.9477,0.7736,natural,0.0,3.428,62.66,4.39,57.7,3725.5,245.42,285.2,39.777
1332.6,86.31,20.35,1.0244,0.8363,forced,1.0,1.462,40.92,7.65,58.3,7003.4,89.38,96.9,7.52
719.2,92.98,23.79,1.0908,0.8904,forced,1.0,1.838,13.61,9.57,14.1,9183.7,51.24,52.29,1.045
2025.7,79.24,11.55,0.9696,0.7915,forced,1.0,2.202,46.84,8.81,46.5,7367.5,135.9,154.01,18.111
5657.5,49.44,-18.73,0.677,0.5526,natural,0.0,1.16,51.6,0.51,18.9,389.6,61.81,89.87,28.057
1939.2,80.1,19.31,0.9541,0.7788,natural,0.0,4.855,8.12,2.58,45.5,2461.0,64.0,66.68,2.683
3112.7,69.11,-9.55,0.9133,0.7456,forced,1.0,2.894,24.96,2.47,59.9,2079.2,81.79,95.1,13.306
4218.1,59.91,-15.84,0.8111,0.6621,forced,1.0,1.333,2.39,4.42,24.3,3078.0,-11.4,-10.67,0.73
2181.8,77.72,5.32,0.9723,0.7937,natural,0.0,5.474,25.1,6.63,29.1,5602.9,159.53,173.89,14.355
5830.7,48.29,-4.38,0.6258,0.5109,natural,0.0,4.697,26.49,1.95,53.7,1226.5,169.68,218.57,48.895
5774.7,48.66,-18.75,0.6663,0.5439,forced,1.0,3.378,48.01,9.2,50.4,4930.9,245.18,344.0,98.82
1510.7,84.44,9.08,1.0423,0.8509,forced,1.0,2.21,16.53,7.88,32.5,7058.9,50.66,53.59,2.933
2983.5,70.25,-8.04,0.9232,0.7536,forced,1.0,1.665,4.2,4.48,56.7,3593.9,0.72,1.52,0.803
1805.3,81.44,13.94,0.9882,0.8067,forced,1.0,3.413,25.04,6.05,60.6,5375.6,115.43,125.96,10.533
1709.0,82.41,14.61,0.9977,0.8144,forced,1.0,5.846,62.27,5.65,34.9,5107.4,443.61,505.72,62.108
221.3,98.69,23.3,1.1598,0.9468,forced,1.0,1.874,31.14,6.03,12.2,6379.6,84.25,86.21,1.958
3657.4,64.44,-7.55,0.8452,0.69,forced,1.0,4.041,32.3,8.67,38.0,6025.1,168.12,203.34,35.226
3016.1,69.96,-3.84,0.9051,0.7388,forced,1.0,6.282,36.24,2.4,50.7,2047.2,286.17,335.48,49.31
308.9,97.67,10.23,1.2007,0.9801,forced,1.0,4.432,56.88,7.0,22.1,7227.6,266.38,269.36,2.976
1671.9,82.79,9.64,1.0199,0.8325,forced,1.0,3.308,37.04,1.52,15.5,1580.1,151.51,166.11,14.6
5449.6,50.85,-21.9,0.7051,0.5756,natural,0.0,4.883,8.66,4.86,25.7,2891.9,33.86,41.47,7.605
1437.4,85.21,3.59,1.0726,0.8756,natural,0.0,5.5,17.07,6.54,10.6,6010.6,103.91,108.28,4.373
869.4,91.31,11.81,1.1163,0.9112,forced,1.0,4.166,15.72,0.62,49.4,780.6,82.34,84.99,2.658
2936.7,70.67,-2.02,0.9081,0.7413,natural,0.0,5.769,39.07,1.53,18.0,1381.0,259.81,298.96,39.148
5913.9,47.74,-21.67,0.6613,0.5398,forced,1.0,3.733,4.18,1.37,49.8,886.0,3.91,8.13,4.214
1452.3,85.05,13.36,1.0342,0.8442,natural,0.0,5.531,22.7,4.06,22.9,3903.0,150.04,159.02,8.986
4032.8,61.38,-5.74,0.7996,0.6527,forced,1.0,6.227,46.33,6.41,64.6,4389.1,400.04,507.1,107.059
4569.7,57.2,-11.43,0.7614,0.6215,forced,1.0,3.657,27.89,9.96,39.2,6132.3,137.78,173.69,35.905
1425.8,85.33,11.83,1.0431,0.8515,forced,1.0,4.249,53.66,2.91,12.3,2906.4,271.11,299.27,28.164
4369.3,58.73,-14.35,0.7906,0.6453,forced,1.0,4.274,30.56,1.79,52.5,1350.7,171.06,214.06,43.0
2206.7,77.48,6.29,0.9659,0.7885,forced,1.0,5.254,73.49,4.44,32.6,3890.2,473.25,557.11,83.861
3793.8,63.31,-3.76,0.8187,0.6684,forced,1.0,5.491,72.47,1.89,43.4,1511.6,545.53,709.22,163.687
3801.2,63.25,-13.73,0.8494,0.6934,forced,1.0,0.955,60.39,0.73,62.3,656.7,63.59,83.09,19.496
3214.6,68.21,5.08,0.8541,0.6972,natural,0.0,4.98,71.67,5.86,38.4,4451.5,432.54,537.27,104.735
541.7,94.98,11.19,1.1637,0.95,forced,1.0,5.268,16.95,8.86,54.2,8727.8,104.21,105.79,1.575
5011.8,53.93,-12.03,0.7196,0.5874,forced,1.0,4.792,56.82,8.68,26.7,5133.8,404.74,551.15,146.411
1924.7,80.24,14.48,0.9719,0.7934,forced,1.0,4.868,25.48,1.46,49.3,1483.4,163.76,181.11,17.356
1119.1,88.58,18.28,1.0589,0.8644,natural,0.0,1.036,54.95,1.9,15.5,2051.6,79.51,84.39,4.885
244.7,98.42,18.62,1.1751,0.9593,forced,1.0,3.32,29.29,5.17,59.1,5532.0,119.15,121.2,2.049
3545.4,65.38,-5.22,0.8501,0.6939,forced,1.0,5.464,23.13,3.99,21.0,3036.6,164.04,193.3,29.261
4065.4,61.12,-0.74,0.7816,0.638,forced,1.0,6.124,71.99,7.18,26.6,4843.2,630.86,839.17,208.305
99.5,100.14,23.4,1.1763,0.9603,forced,1.0,2.108,17.32,5.2,62.7,5654.6,61.12,61.82,0.704
3072.6,69.46,-3.68,0.898,0.7331,forced,1.0,4.101,57.38,0.69,18.5,676.9,297.99,361.39,63.394
1359.0,86.03,6.4,1.0721,0.8752,forced,1.0,5.385,51.25,3.2,24.0,3187.4,313.43,339.92,26.482
3871.0,62.68,-17.6,0.8545,0.6975,forced,1.0,5.089,24.15,9.06,41.9,6116.5,146.37,175.07,28.703
1046.2,89.37,14.12,1.0838,0.8847,forced,1.0,4.328,35.46,5.36,63.9,5242.0,183.38,194.43,11.056
4145.6,60.48,-7.44,0.7929,0.6473,forced,1.0,0.907,12.43,8.08,48.0,5337.9,8.52,10.93,2.406
2320.4,76.38,11.73,0.934,0.7625,forced,1.0,4.926,69.25,4.32,16.3,3748.5,435.51,520.02,84.51
5620.4,49.69,-14.38,0.6689,0.5461,forced,1.0,5.207,72.67,6.93,51.1,3894.1,599.68,867.94,268.261
825.1,91.8,22.64,1.0811,0.8826,natural,0.0,4.92,55.47,2.11,33.4,2320.1,313.16,334.5,21.342
2046.4,79.04,2.51,0.9988,0.8154,forced,1.0,5.165,64.01,7.5,64.6,6353.5,391.76,448.89,57.122
680.8,93.41,22.4,1.101,0.8988,natural,0.0,3.256,8.03,7.97,44.6,7814.7,49.99,50.53,0.544
5548.2,50.18,-19.24,0.6884,0.562,forced,1.0,6.464,30.03,1.36,39.3,919.3,288.59,380.56,91.972
5264.0,52.14,-9.55,0.6891,0.5625,forced,1.0,5.193,26.15,2.24,40.6,1482.5,205.64,266.24,60.606
1547.6,84.06,1.19,1.0675,0.8714,natural,0.0,4.098,43.24,4.9,45.3,4573.0,191.04,204.56,13.517
3959.9,61.96,-4.33,0.803,0.6555,forced,1.0,6.125,15.38,6.56,50.3,4518.0,127.78,150.86,23.072
4903.3,54.72,-23.78,0.7644,0.624,forced,1.0,5.977,43.13,6.56,14.3,4039.9,352.1,458.16,106.057
3331.2,67.2,-3.26,0.8675,0.7081,forced,1.0,5.443,49.77,6.85,17.2,5056.3,353.78,432.78,79.001
3177.9,68.54,1.99,0.8678,0.7084,forced,1.0,4.013,11.66,7.29,26.5,5443.6,63.65,71.73,8.077
1451.1,85.06,7.44,1.0561,0.8621,natural,0.0,3.804,11.62,5.3,36.3,4967.3,55.04,57.08,2.044
558.6,94.79,10.07,1.166,0.9518,forced,1.0,2.674,4.59,5.96,27.1,6086.3,22.82,22.98,0.154
5383.3,51.31,-9.91,0.679,0.5543,forced,1.0,2.23,57.55,0.58,21.8,446.2,195.83,276.01,80.185
5402.5,51.18,-15.74,0.6926,0.5654,forced,1.0,3.72,26.16,2.08,60.9,1366.2,137.88,180.82,42.942
3798.6,63.27,-7.63,0.8302,0.6777,natural,0.0,4.093,18.46,5.24,11.8,3760.9,84.14,96.07,11.926
2034.2,79.16,7.03,0.9842,0.8034,natural,0.0,2.194,58.8,7.58,61.6,6428.3,150.94,169.98,19.039
2095.3,78.56,22.2,0.9266,0.7564,forced,1.0,6.059,12.46,8.18,59.9,6841.0,116.57,126.28,9.713
4355.7,58.83,-1.39,0.7542,0.6157,forced,1.0,3.976,33.18,7.42,47.6,4824.1,193.12,244.26,51.134
5382.7,51.31,-8.01,0.6742,0.5504,natural,0.0,3.801,56.37,5.12,11.8,3054.1,280.81,386.05,105.247
5322.5,51.73,-11.98,0.69,0.5633,forced,1.0,3.283,43.89,3.17,22.4,2004.8,216.09,293.85,77.763
4679.3,56.37,-9.42,0.7447,0.6079,natural,0.0,1.131,42.44,4.72,63.9,3091.6,52.15,68.53,16.379
3852.2,62.84,-19.42,0.8627,0.7043,natural,0.0,5.83,13.49,0.59,59.8,538.8,74.33,84.13,9.805
504.8,95.41,12.64,1.1629,0.9493,forced,1.0,2.607,15.21,6.18,63.1,6325.5,53.97,54.67,0.697
969.8,90.2,10.81,1.1066,0.9034,forced,1.0,4.462,44.53,1.21,64.8,1393.6,226.32,239.68,13.363
5391.3,51.25,-26.29,0.7233,0.5904,natural,0.0,4.262,3.72,1.88,13.5,1250.2,-5.66,-3.68,1.974
3638.6,64.6,-10.6,0.8571,0.6997,forced,1.0,4.132,65.45,6.45,41.4,4620.6,349.22,440.46,91.24
55.2,100.66,7.76,1.2484,1.0191,forced,1.0,3.797,27.58,0.63,55.9,860.2,110.91,111.16,0.253
608.8,94.22,15.81,1.1359,0.9273,forced,1.0,1.834,32.41,5.95,27.6,6041.9,78.97,81.74,2.778
3981.0,61.79,-0.96,0.7909,0.6456,natural,0.0,2.399,20.87,6.56,34.0,4512.3,61.35,71.23,9.884
30.4,100.96,26.44,1.174,0.9583,forced,1.0,3.788,66.0,7.99,25.6,8401.0,285.09,292.89,7.806
964.8,90.26,16.22,1.0866,0.887,forced,1.0,5.299,48.9,1.15,12.1,1330.7,301.45,323.73,22.277
3292.4,67.54,-7.18,0.8846,0.7222,forced,1.0,3.262,34.84,0.53,14.0,522.1,140.3,166.79,26.487
4151.4,60.43,-18.58,0.827,0.6751,forced,1.0,1.962,44.73,7.79,11.2,5158.0,101.61,130.48,28.864
3911.8,62.35,-15.97,0.8446,0.6895,forced,1.0,1.301,29.77,3.26,39.0,2423.9,36.19,46.53,10.342
1345.6,86.17,3.64,1.0845,0.8853,forced,1.0,4.579,35.99,8.93,44.0,8049.0,185.3,197.84,12.543
4273.1,59.48,-13.11,0.7968,0.6504,natural,0.0,3.213,28.11,2.26,26.9,1676.7,98.87,119.44,20.574
1423.5,85.35,9.79,1.0509,0.8579,natural,0.0,1.515,31.98,6.06,55.4,5620.7,62.08,66.16,4.074
1952.4,79.97,1.22,1.0153,0.8288,natural,0.0,4.644,24.99,1.54,58.8,1552.4,128.73,138.01,9.279
4478.9,57.89,-7.08,0.7579,0.6187,forced,1.0,1.983,7.67,4.33,17.7,2924.9,15.25,18.55,3.301
